"","rotarypursuit_1_2","rotarypursuit_2_2","rotarypursuit_3_2","rotarypursuit_4_2","rotarypursuit_5_2","rotarypursuit_6_2","rotarypursuit_7_2","rotarypursuit_8_2","rotarypursuit_9_2","rotarypursuit_10_2","rotarypursuit_11_2","rotarypursuit_12_2","rotarypursuit_13_2","rotarypursuit_14_2","rotarypursuit_15_2","rotarypursuit_16_2"
"1","2.0695; 17.9315","2.1575; 17.8435","3.4885; 16.5125","4.0445; 15.9565","2.5575; 17.4435","3.2325; 16.7685","3.2275; 16.7735","3.3895; 16.6115","3.4265; 16.5745","2.8325; 17.1685","3.5825; 16.4185","4.7055; 15.2955","1.7355; 18.2655","4.6465; 15.3545","4.5255; 15.4755","3.4825; 16.5185"
"2","7.309; 12.691","9.912; 10.088","10.790; 9.210","11.932; 8.068","10.087; 9.913","8.285; 11.715","11.916; 8.084","8.007; 11.993","13.229; 6.771","11.736; 8.264","11.629; 8.371","10.377; 9.623","11.548; 8.452","11.275; 8.725","10.623; 9.377","13.224; 6.776"
"3","5.28; 14.72","6.01; 13.99","6.52; 13.48","6.95; 13.05","9.22; 10.78","10.66; 9.34","12.08; 7.92","9.14; 10.86","7.95; 12.05","9.45; 10.55","9.41; 10.59","7.23; 12.77","8.87; 11.13","11.79; 8.21","10.20; 9.80","10.20; 9.80"
"4","2.48; 17.53","3.84; 16.16","4.35; 15.65","3.63; 16.37","3.88; 16.12","2.24; 17.76","2.72; 17.28","2.60; 17.40","2.77; 17.23","2.39; 17.61","2.89; 17.11","4.24; 15.76","3.49; 16.51","3.97; 16.03","4.22; 15.78","3.80; 16.20"
"5","5.04; 14.96","4.58; 15.42","7.16; 12.84","7.06; 12.94","6.54; 13.46","5.35; 14.65","3.70; 16.30","4.14; 15.86","4.62; 15.38","2.47; 17.53","3.80; 16.20","4.03; 15.97","2.38; 17.62","2.08;17.92","1.84; 18.16","1.36; 18.64"
"6","","","","","","","","","","","","","","","",""
"7","6.87; 13.13","7.40; 12.60","9.82; 10.18","12.16; 7.84","9.49; 10.51","11.71; 8.29","12.36; 7.64","12.75; 7.25","11.53; 8.47","10.10; 9.90","13.84; 6.16","11.93; 8.07","11.22; 8.78","11.19; 8.81","12.07; 7.93","11.76; 8.24"
"8","3.85; 16.16","2.85; 17.15","3.93; 16.07","3.30; 16.70","5.29; 14.71","8.58; 11.42","6.78; 13.22","6.69; 13.32","7.73; 12.27","8.91; 11.09","13.24; 6.76","10.40; 9.60","9.10; 10.90","10.02; 9.98","11.59; 8.41","11.03; 8.97"
"9","6.29; 13.71","4.93; 15.07","4.77; 15.23","7.71; 12.29","6.53; 13.47","7.09; 12.91","6.79; 13.21","6.20; 13.80","5.18; 14.82","5.42; 14.58","5.30; 14.70","6.50; 13.50","6.92; 13.08","6.94; 13.06","5.49; 14.51","6.90; 13.10"
"10","","","","","","","","","","","","","","","",""
"11","8.03; 11.97","8.94; 11.06","6.79; 13.21","8.80; 11.20","6.26; 13.74","6.83; 13.17","8.84; 11.16","10.18; 9.83","7.05; 12.95","10.07; 9.93","9.25; 10.76","10.62; 9.39","7.03; 12.97","10.01; 9.99","11.21; 8.79","9.99; 10.01"
"12","4.76; 15.24","5.89; 14.11","8.38; 11.62","9.69; 10.31","7.10; 12.90","8.35; 11.65","6.25; 13.76","11.09; 8.91","9.14; 10.86","7.63; 12.37","8.06; 11.94","10.45; 9.56","8.01; 11.99","10.14; 9.86","8.14; 11.87","10.47; 9.53"
"13","1.77; 18.23","2.98; 17.02","2.51; 17.49","3.55; 16.45","2.27; 17.73","4.82; 15.18","4.69; 15.31","6.01; 13.99","2.74; 17.26","5.51; 14.49","6.36; 13.64","4.66; 15.34","1.98; 18.02","5.86; 14.14","4.00; 16.00","5.38; 14.62"
"14","","","","","","","","","","","","","","","",""
"15","4.56; 15.44","3.97; 16.30","4.76; 15.24","6.54; 13.46","6.83; 13.17","6.63; 13.37","7.42; 12.59","8.98; 11.03","6.39; 13.61","5.92; 14.08","8.49; 11.51","9.98; 10.02","8.16; 11.84","8.64; 11.36","8.83; 11.17","9.05; 10.95"
"16",".49; 19.52",".45; 19.55",".41; 19.59",".36; 19.64",".64; 19.36",".39; 19.60",".23; 19.78",".29; 19.71",".27; 19.73",".51; 19.49","1.48; 18.52",".36; 19.64","1.50; 18.50","2.46; 17.54",".55; 19.45",".59; 19.42"
"17","2.4625; 17.5385","5.6905; 14.3105","4.4745; 15.5265","5.6755; 14.3255","5.3295; 14.6715","5.7985; 14.2025","5.2355; 14.7655","4.5235; 15.4775","4.9235; 15.0775","2.2605; 17.7405","3.6175; 16.3835","5.6305; 14.3705","4.1225; 15.8785","3.4715; 16.5295","5.6075; 14.3935","6.3435; 13.6575"
"18","3.85; 16.15","6.25; 13.75","6.72; 13.28","7.05; 12.95","6.09; 13.91","5.39; 14.61","4.96; 15.04","7.20; 12.80","5.67; 14.34","6.67; 13.22","7.55; 12.45","7.37; 12.63","6.06; 13.94","4.92; 15.08","7.01; 12.99","7.55; 12.45"
"19","6.37; 13.63","6.98; 13.02","6.93; 13.07","8.08; 11.92","6.85; 13.16","7.40; 12.60","9.26; 10.74","8.69; 11.31","8.45; 11.55","7.59; 12.41","9.59; 10.42","8.84; 11.16","9.10; 10.90","11.35; 8.65","8.32; 11.68","9.50; 10.50"
"20","6.27; 13.73","6.67; 13.33","7.30; 12.70","6.70; 13.30","7.82; 12.18","7.74; 12.26","4.51; 15.49","7.84; 12.17","7.42; 12.58","8.56; 11.44","6.10; 13.90","5.07; 14.93","4.44; 15.56","5.90; 14.10","6.39; 13.61","6.36; 13.64"
"21","0.93; 19.07","2.75; 17.26","4.67; 15.33","3.26; 16.74","3.86; 16.14","6.08; 13.92","4.46; 15.54","4.85; 15.15","5.70; 14.31","7.00; 13.00","6.65; 13.35","6.78; 13.22","6.61; 13.39","7.11; 12.89","6.21; 13.79","7.06; 12.94"
"22","4.19; 15.81","6.02; 13.99","6.48; 13.52","6.58; 13.83","6.17; 13.83","7.46; 12.54","7.42; 12.58","5.32; 14.68","4.76; 15.24","6.64; 13.36","4.08; 15.92","7.30; 12.70","1.88; 18.12","5.82; 14.18","6.77; 13.23","3.01; 16.99"
"23","2.41; 17.59","1.76; 18.24","2.60; 17.40","3.17; 16.83","4.02; 15.98","4.24; 15.76","4.64; 15.36","4.84; 15.16","6.02; 13.98","3.26; 14.76","6.46; 13.56","6.33; 13.67","6.74; 13.26","7.37; 12.63","8.10; 11.90","7.98; 12.02"
"24","3.43; 16.57","2.80; 17.20","5.40; 14.61","6.19; 13.81","5.12; 14.88","4.53; 15.47","5.01; 14.99","5.58; 14.42","5.30; 14.76","5.99; 14.01","6.59; 13.41","4.08; 15.92","3.46; 16.54","6.39; 13.61","5.53; 14.47","5.57; 14.43"
"25","6.9455; 13.0555","4.5505; 15.4505","8.9055; 11.0955","7.3695; 12.6315","7.8405; 12.1605","7.0165; 12.9845","5.3155; 14.6855","4.9035; 15.0975","7.8105; 12.1905","8.2465; 11.7545","8.1835; 11.8175","7.1555; 12.8455","8.8755; 11.1255","9.7625; 10.2385","10.0235; 9.9775","11.2375; 8.7635"
"26","2.51; 17.49","3.91; 16.09","2.53; 17.46","3.68; 16.31","4.24; 15.76","5.44; 14.56","5.41; 14.59","4.69; 15.31","5.28; 14.72","6.90; 13.10","5.36; 14.64","6.15; 13.85","5.49; 14.51","7.38; 12.62","4.90; 15.10","6.68; 13.32"
"27","6.09; 13.89","6.98; 13.02","7.05; 12.95","6.54; 13.46","5.87; 14.13","8.31; 11.69","9.21; 10.79","9.65; 10.35","8.70; 11.30","8.21; 11.79","9.45; 10.55","8.70; 11.30","9.40; 10.60","11.30; 8.70","12.14; 7.86","10.80; 9.20"
"28","3.36; 16.65","6.18; 13.83","4.19; 15.81","5.46; 14.54","6.55; 13.45","4.78; 15.77","4.78; 15.22","7.02; 12.98","5.59; 14.41","3.41; 16.59","5.32; 14.68","3.47; 16.53","3.74; 16.26","6.26; 13.74","5.54; 14.46","7.30; 12.70"
"29","6.79; 13.21","6.38; 13.62","5.56; 14.44","7.74; 12.27","5.78; 14.22","7.13; 12.87","10.47; 9.53","7.45; 12.55","10.79; 9.21","8.52; 11.48","9.15; 10.85","10.40; 9.60","9.32; 10.68","8.28; 11.72","9.08; 10.92","10.05; 9.95"
"30","2.18; 17.82","6.18; 13.82","6.51; 13.49","7.87; 12.13","7.42; 12.58","6.52; 13.48","8.24; 11.76","7.86; 12.14","8.02; 11.98","9.32; 10.68","9.85; 10.15","9.65; 10.35","9.40; 10.60","10.90; 9.10","9.06; 10.94","9.65; 10.35"
"31","3.7685; 16.2325","4.9915; 15.0095","4.1515; 15.8495","2.9385; 17.0625","3.4485; 16.5525","3.4635; 16.5375","5.3345; 14.6665","6.0575; 13.9435","6.8055; 13.1955","6.8535; 13.1475","9.2455; 10.7555","7.9225; 12.0785","7.4715; 12.5295","8.2715; 11.7295","7.6615; 12.3395","6.9565; 13.0445"
"32","3.8305; 16.1705","5.9945; 14.0065","4.1385; 15.8625","6.3995; 13.6015","7.4275; 12.5735","8.5335; 11.4675","7.7295; 12.2715","8.1625; 11.8385","9.3855; 10.6155","8.4425; 11.5585","9.3475; 10.6535","9.6485; 10.3525","10.6725; 9.3285","10.9733; 9.0275","11.8295; 8.1715","7.5905; 12.4105"
"33","3.4235; 16.5775","6.3335; 13.6675","3.5035; 16.4975","3.7575; 16.2435","7.4285; 12.5725","5.5895; 14.4115","5.8975; 14.1035","6.5065; 13.4945","6.3815; 13.6195","8.8455; 11.1555","9.0305; 10.9705","8.8905; 11.1105","8.1045; 11.8965","9.3225; 10.6785","9.5085; 10.4925","8.8035; 11.1975"
"34","2.02; 17.98","1.86; 18.14","3.47; 16.53","2.90; 17.10","4.12; 15.88","5.99; 14.01","5.71; 14.29","4.99; 15.01","6.26; 13.74","6.40; 13.60","7.97; 12.03","5.80; 14.20","8.02; 11.98","7.29; 12.71","6.91; 13.09","9.71; 10.29"
"35","4.35; 16.65","4.08; 15.92","6.69; 13.31","3.53; 16.47","3.53; 16.48","5.70; 14.30","4.40; 15.60","2.70; 17.30","3.57; 16.43","2.94; 17.06","3.57; 16.43","2.83; 17.17","3.94; 16.06","3.65; 16.35","2.29; 17.71","2.45; 17.55"
"36","0.51; 19.49","3.08; 16.92","4.03; 15.97","2.72; 17.28","4.60; 15.40","2.47; 17.53","5.01; 14.99","1.81; 18.19","4.70; 15.30","3.86; 16.14","6.29; 13.71","5.87; 14.14","4.86; 15.14","3.66; 16.34","6.14; 13.86","6.55; 13.45"
"37","2.5165; 17.4845","2.5895; 17.4115","2.5735; 17.4275","4.4035; 15.5975","3.2695; 16.7315","3.9735; 16.0275","3.4645; 16.5365","4.4125; 15.5885","3.4845; 16.5165","3.5795; 16.4215","3.9725; 16.0285","4.1885; 15.8125","4.2965; 15.7045","2.5705; 17.4305","3.6625; 16.3385","3.0435; 16.9573"
"38","4.4455; 15.5555","5.7995; 14.2015","8.1405; 11.8605","6.3355; 13.6655","7.8275; 12.1735","7.6885; 12.3125","7.1175; 12.8835","7.5925; 12.4085","8.4335; 11.5675","7.5715; 12.4295","7.7455; 12.2555","7.8065; 12.1945","8.5105; 11.4905","7.4825; 12.5185","8.2545; 11.7465","10.6515; 9.3495"
"39","2.29; 17.71","3.88; 16.12","6.15; 13.85","7.63; 12.37","5.85; 14.15","7.16; 12.84","6.52; 13.48","7.61; 12.39","7.59; 12.41","8.95; 11.05","7.36; 12.64","8.85; 11.15","8.26; 11.74","8.13; 11.87","7.32; 12.68","8.38; 11.62"
"40","1.89; 18.11","3.91; 16.09","4.07; 15.93","3.77; 16.23","4.46; 15.54","4.70; 15.30","4.77; 15.23","6.63; 13.37","4.29; 15.71","6.18; 13.82","7.22; 12.78","8.30; 11.70","8.38; 11.62","7.05; 12.95","8.60; 11.40","7.65; 12.35"
"41","3.85; 16.15","3.64; 16.36","5.25; 14.75","4.24; 15.76","5.48; 14.52","4.94; 15.07","5.78; 14.22","5.66; 14.34","5.80; 14.20","5.33; 14.67","6.77; 13.23","6.46; 13.54","4.88; 15.12","6.73; 13.27","5.99; 14.01","6.42; 13.58"
"42","","","","","","","","","","","","","","","",""
"43","6.08; 13.92","5.47; 14.53","6.64; 13.36","9.13; 10.87","7.76; 12.24","7.15; 12.85","11.09; 8.91","7.93; 12.07","6.02; 13.98","9.17; 10.83","7.85; 12.15","7.60; 12.40","10.03; 9.97","11.68; 8.32","10.07; 9.93","9.18; 10.82"
"44","4.61; 15.39","6.43; 13.57","6.69; 13.31","7.24; 12.76","7.09; 12.91","7.11; 12.89","7.40; 12.60","9.25; 10.75","9.36; 10.64","8.98; 11.02","8.40; 11.60","8.32; 11.68","7.18; 12.83","8.98; 11.02","4.85; 15.15","8.70; 11.30"
"45","4.76; 15.24","4.57; 15.43","4.47; 15.53","6.12; 13.88","4.87; 15.13","3.01; 16.99","5.87; 14.13","5.38; 14.62","8.84; 11.16","8.54; 11.46","7.99; 12.01","8.24; 11.76","9.99; 10.01","5.88; 14.12","8.72; 11.28","10.30; 9.70"
"46","10.15; 9.85","10.25; 9.75","9.47; 10.53","10.58; 9.42","12.32; 7.68","13.15; 6.85","13.20; 6.80","11.90; 8.10","15.12; 4.88","15.54; 4.46","13.75; 6.25","13.06; 6.94","14.60; 5.40","11.50; 8.50","12.05; 7.95","12.58; 7.42"
"47","1.32; 18.68","2.30; 17.70","1.13; 18.87","1.23; 18.77","0.29; 19.71","0.61; 19.39","0.12; 19.88","0.18; 19.82","0.04; 19.96","1.12; 18.88","1.34; 18.66","1.05; 18.95","0.21; 19.79","","",""
"48","3.48; 16.52","6.35; 13.65","6.72; 13.28","4.84; 15.16","5.73; 14.27","4.82; 15.19","5.01; 14.99","6.59; 13.41","6.34; 13.66","5.28; 14.72","7.54; 12.46","8.36; 11.64","3.28; 16.72","3.99; 16.01","8.32; 11.68","8.80; 11.20"
"49","1.49; 18.51","3.17; 16.83","1.23; 8.77","3.89; 16.11","6.20; 13.80","4.92; 15.08","5.25; 14.75","7.53; 12.47","6.33; 13.67","7.71; 12.29","8.95; 11.05","10.03; 9.97","11.11; 8.89","10.81; 9.19","11.82; 8.18","10.95; 9.05"
"50","4.81; 15.19","3.68; 16.32","3.84; 16.16","3.79; 16.22","4.08; 15.92","5.55; 14.45","5.05; 14.95","4.27; 15.73","3.23; 16.77","2.10; 17.90","6.28; 13.72","2.37; 17.63","7.27; 12.73","7.28; 12.72","7.00; 13.00","6.51; 13.49"
"51","6.18; 13.82","7.54; 12.46","6.38; 13.62","6.87; 13.13","6.43; 13.57","5.59; 14.41","6.13; 13.87","6.72; 13.28","6.85; 13.15","6.61; 13.39","9.27; 10.73","8.99; 11.01","8.51; 11.49","8.34; 11.66","8.59; 11.41","9.82; 10.18"
"52","","","","","","","","","","","","","","","",""
"53","1.63; 18.37","2.75; 17.25","5.45; 14.55","6.04; 13.96","5.64; 14.36","7.00; 13.00","7.05; 12.95","7.38; 12.62","6.97; 13.03","7.91; 12.09","5.87; 14.13","7.62; 12.38","7.86; 12.14","6.49; 13.51","7.89; 12.11","7.69; 12.32"
"54","5.30; 14.70","4.64; 15.37","4.62; 15.38","3.49; 16.51","6.58; 13.42","5.56; 14.44","7.90; 12.10","6.05; 13.95","6.69; 13.31","6.36; 13.64","7.27; 12.73","6.10; 13.90","4.85; 15.15","4.55; 15.45","5.39; 14.61","8.11; 11.89"
"55","1.93; 18.07","1.82; 18.18","2.36; 17.64","2.29; 17.71","2.59; 17.41","3.96; 16.04","4.11; 15.89","3.27; 16.73","6.27; 13.74","6.64; 13.36","7.12; 12.89","4.40; 15.60","7.19; 12.81","7.06; 12.94","4.61; 15.39","6.21; 13.79"
"56","","","","","","","","","","","","","","","",""
"57","11.80; 8.20","14.83; 5.17","13.08; 6.92","12.85; 7.15","10.87; 9.13","12.46; 7.54","14.81; 5.19","11.95; 8.05","14.96; 5.04","13.48; 6.52","15.28; 4.72","15.33; 4.67","13.71; 6.29","11.54; 8.46","13.08; 6.92","13.11; 6.89"
"58","","","","","","","","","","","","","","","",""
"59","2.67; 17.33","5.19; 14.81","5.85; 14.15","4.51; 15.49","7.06; 12.94","4.86; 15.14","5.75; 14.25","5.42; 14.58","6.82; 13.18","8.14; 11.86","9.15; 10.85","8.71; 11.29","6.98; 13.02","6.50; 13.50","8.76; 11.24","7.17; 12.83"
"60","0.32; 19.68","0.28; 19.72","2.126; 17.84","2.83; 17.17","3.57; 16.43","3.07; 16.93","4.24; 15.76","3.94; 16.06","3.54; 16.46","6.20; 13.80","7.29; 12.71","6.11; 13.89","5.52; 14.48","5.82; 14.18","5.45; 14.55","6.57; 13.43"
"61","","","","","","","","","","","","","","","",""
"62","","","","","","","","","","","","","","","",""
